CARD_NUMBER,CARD_EXPIRY,TRACK2_DATA,PIN_BLOCK,ACCOUNT_NUMBER
4000000000000001,2608,4000000000000001=26081011234500001,041D12B725424EBF,00000000000000000001
4000000000000002,2504,4000000000000002=25041011234500001,049A0BBF1C92321D,00000000000000000002
4000000000000003,2508,4000000000000003=25081011234500001,040D497D37551EF4,00000000000000000003
4000000000000004,2609,4000000000000004=26091011234500001,04372AAF5B925FAF,00000000000000000004
4000000000000005,2806,4000000000000005=28061011234500001,04D3155B53B249E4,00000000000000000005
4000000000000006,2605,4000000000000006=26051011234500001,04EA53EA754D086D,00000000000000000006
4000000000000007,2811,4000000000000007=28111011234500001,04E53BF46B3C4686,00000000000000000007
4000000000000008,3008,4000000000000008=30081011234500001,0459785160BB602E,00000000000000000008
4000000000000009,2904,4000000000000009=29041011234500001,0421343E31C87293,00000000000000000009
4000000000000010,2601,4000000000000010=26011011234500001,047A4BBA7B93117E,00000000000000000010
4000000000000011,2612,4000000000000011=26121011234500001,04615BF451E43EFB,00000000000000000011
4000000000000012,2912,4000000000000012=29121011234500001,040678B336C707A1,00000000000000000012
4000000000000013,3003,4000000000000013=30031011234500001,0430240536D27A99,00000000000000000013
4000000000000014,2808,4000000000000014=28081011234500001,04ED6A7F613011B4,00000000000000000014
4000000000000015,2601,4000000000000015=26011011234500001,04D25B4B2FB0010F,00000000000000000015
4000000000000016,2608,4000000000000016=26081011234500001,040A703A56723987,00000000000000000016
4000000000000017,2802,4000000000000017=28021011234500001,04645D6A464F309A,00000000000000000017
4000000000000018,2509,4000000000000018=25091011234500001,04FF13B674C86686,00000000000000000018
4000000000000019,2712,4000000000000019=27121011234500001,04B6089D621A543F,00000000000000000019
4000000000000020,2703,4000000000000020=27031011234500001,04083C5E073838C9,00000000000000000020
4000000000000021,2507,4000000000000021=25071011234500001,043427EB23285899,00000000000000000021
4000000000000022,2603,4000000000000022=26031011234500001,042C0A4A7A5E6220,00000000000000000022
4000000000000023,2509,4000000000000023=25091011234500001,04F627ED3B4B5837,00000000000000000023
4000000000000024,2604,4000000000000024=26041011234500001,04052F4968C712BB,00000000000000000024
4000000000000025,3003,4000000000000025=30031011234500001,04CC23345AB10146,00000000000000000025
4000000000000026,2612,4000000000000026=26121011234500001,04225B8C00A244BB,00000000000000000026
4000000000000027,2904,4000000000000027=29041011234500001,04E547EC7B7C38FE,00000000000000000027
4000000000000028,3007,4000000000000028=30071011234500001,04B0093527253DD1,00000000000000000028
4000000000000029,2902,4000000000000029=29021011234500001,04647B4D635E620B,00000000000000000029
4000000000000030,2606,4000000000000030=26061011234500001,04E77DF43EFD6FB7,00000000000000000030
4000000000000031,2712,4000000000000031=27121011234500001,04F92002040F79E3,00000000000000000031
4000000000000032,2805,4000000000000032=28051011234500001,04722B8245A16821,00000000000000000032
4000000000000033,3008,4000000000000033=30081011234500001,045E33836B450DD5,00000000000000000033
4000000000000034,2904,4000000000000034=29041011234500001,04CA1F95485E2E7D,00000000000000000034
4000000000000035,2801,4000000000000035=28011011234500001,0447431D206C0327,00000000000000000035
4000000000000036,2604,4000000000000036=26041011234500001,043A619A2C7B319C,00000000000000000036
4000000000000037,2808,4000000000000037=28081011234500001,04223418125706A2,00000000000000000037
4000000000000038,2705,4000000000000038=27051011234500001,040B60621EC23117,00000000000000000038
4000000000000039,2506,4000000000000039=25061011234500001,04C0333C009D5E67,00000000000000000039
4000000000000040,2912,4000000000000040=29121011234500001,04055B8565534E0C,00000000000000000040
4000000000000041,3008,4000000000000041=30081011234500001,04B906AA0C5D7DCF,00000000000000000041
4000000000000042,2912,4000000000000042=29121011234500001,044974237386148C,00000000000000000042
4000000000000043,3008,4000000000000043=30081011234500001,042D21BA41A94DD0,00000000000000000043
4000000000000044,2702,4000000000000044=27021011234500001,0430364B32524ACD,00000000000000000044
4000000000000045,2810,4000000000000045=28101011234500001,042C6D6366B54D1F,00000000000000000045
4000000000000046,2806,4000000000000046=28061011234500001,04AF6834206D14FC,00000000000000000046
4000000000000047,2610,4000000000000047=26101011234500001,04EB685B1FB02A01,00000000000000000047
4000000000000048,2812,4000000000000048=28121011234500001,047D2E0D6C1A744B,00000000000000000048
4000000000000049,3009,4000000000000049=30091011234500001,049A40E66DCA748A,00000000000000000049
4000000000000050,2809,4000000000000050=28091011234500001,04DE0904256F4580,00000000000000000050
