CARD_NUMBER,CARD_EXPIRY,TRACK2_DATA,PIN_BLOCK,ACCOUNT_NUMBER
4111111111111111,2512,4111111111111111=25121011234500001,0411AABBCCDD1111,00001234567890001
4111111111112222,2512,4111111111112222=25121011234500002,0411AABBCCDD2222,00001234567890002
4111111111113333,2512,4111111111113333=25121011234500003,0411AABBCCDD3333,00001234567890003
4111111111114444,2512,4111111111114444=25121011234500004,0411AABBCCDD4444,00001234567890004
4111111111115555,2512,4111111111115555=25121011234500005,0411AABBCCDD5555,00001234567890005
4222222222221111,2603,4222222222221111=26031011234500006,0422AABBCCDD1111,00002234567890001
4222222222222222,2603,4222222222222222=26031011234500007,0422AABBCCDD2222,00002234567890002
4222222222223333,2603,4222222222223333=26031011234500008,0422AABBCCDD3333,00002234567890003
4222222222224444,2603,4222222222224444=26031011234500009,0422AABBCCDD4444,00002234567890004
4222222222225555,2603,4222222222225555=26031011234500010,0422AABBCCDD5555,00002234567890005
4333333333331111,2706,4333333333331111=27061011234500011,0433AABBCCDD1111,00003234567890001
4333333333332222,2706,4333333333332222=27061011234500012,0433AABBCCDD2222,00003234567890002
4333333333333333,2706,4333333333333333=27061011234500013,0433AABBCCDD3333,00003234567890003
4333333333334444,2706,4333333333334444=27061011234500014,0433AABBCCDD4444,00003234567890004
4333333333335555,2706,4333333333335555=27061011234500015,0433AABBCCDD5555,00003234567890005
4444444444441111,2809,4444444444441111=28091011234500016,0444AABBCCDD1111,00004234567890001
4444444444442222,2809,4444444444442222=28091011234500017,0444AABBCCDD2222,00004234567890002
4444444444443333,2809,4444444444443333=28091011234500018,0444AABBCCDD3333,00004234567890003
4444444444444444,2809,4444444444444444=28091011234500019,0444AABBCCDD4444,00004234567890004
4444444444445555,2809,4444444444445555=28091011234500020,0444AABBCCDD5555,00004234567890005
